id,interface_path
0,9.999999990000e-01
1,9.999999990000e-01
2,9.999999990000e-01
3,9.999999990000e-01
4,9.999999990000e-01
5,9.999999990000e-01
6,9.999999990000e-01
7,9.999999990000e-01
8,9.999999990000e-01
9,9.999999990000e-01
10,9.999999990000e-01
11,9.999999990000e-01
12,9.999999990000e-01
13,9.999999990000e-01
14,9.999999990000e-01
15,9.999999990000e-01
16,9.999999990000e-01
17,9.999999990000e-01
18,9.999999990000e-01
19,9.999999990000e-01
20,9.999999990000e-01
21,9.999999990000e-01
22,9.999999990000e-01
23,9.999999990000e-01
24,9.999999990000e-01
25,9.999999990000e-01
26,9.999999990000e-01
27,9.999999990000e-01
28,9.999999990000e-01
29,9.999999990000e-01
30,9.999999990000e-01
31,9.999999990000e-01
32,9.999999990000e-01
33,9.999999990000e-01
34,9.999999990000e-01
35,9.999999990000e-01
36,9.999999990000e-01
37,9.999999990000e-01
38,9.999999990000e-01
39,9.999999990000e-01
40,9.999999990000e-01
41,9.999999990000e-01
42,9.999999990000e-01
43,9.999999990000e-01
44,9.999999990000e-01
45,9.999999990000e-01
46,9.999999990000e-01
47,9.999999990000e-01
48,9.999999990000e-01
49,9.999999990000e-01
50,9.999999990000e-01
